Product,Land,Sugarcane,Straw,Sugar,Molasses,Filter Cake,Bagasse,Ethanol 1G,Ethanol 2G,Vinasse,Electricity,Biomethane,Hydrogen,Bio oil,SAF,Green diesel,Bio Gasoline,Methanol,Biochar,CO2,Carbon credit
Unit,ha,t,t,t,t,t,t,L,L,t,MWh,m3,t,t,L,L,L,t,t,t,t
Sold - Scenario 72,0.0,0.0,0.0,167427.12,0.0,0.0,0.0,2.1897288e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 73,0.0,0.0,0.0,167427.12,0.0,0.0,0.0,2.1897288e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 74,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 75,0.0,0.0,0.0,167427.12,0.0,0.0,0.0,2.1897288e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 76,0.0,0.0,0.0,167427.12,0.0,0.0,0.0,2.1897288e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 77,0.0,0.0,0.0,167427.12,0.0,0.0,0.0,2.1897288e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 78,0.0,0.0,0.0,167427.12,0.0,0.0,0.0,2.1897288e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 79,0.0,0.0,0.0,167427.12,0.0,0.0,0.0,2.1897288e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 80,0.0,0.0,0.0,167427.12,0.0,0.0,0.0,2.1897288e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 81,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 82,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 83,0.0,0.0,0.0,167427.12,0.0,0.0,0.0,2.1897288e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 84,0.0,0.0,0.0,167427.12,0.0,0.0,0.0,2.1897288e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 85,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 86,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 87,0.0,0.0,0.0,83341.627,0.0,0.0,0.0,1.09e8,0.0,0.0,218570.0306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 88,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 89,0.0,0.0,0.0,167427.12,0.0,0.0,0.0,2.1897288e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 90,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 91,0.0,0.0,0.0,83341.627,0.0,0.0,0.0,1.09e8,0.0,0.0,218570.0306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 92,0.0,0.0,0.0,83341.627,0.0,0.0,0.0,1.09e8,0.0,0.0,218570.0306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 93,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 94,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 95,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 96,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 97,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 98,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 99,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 100,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 101,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 102,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 103,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 104,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 105,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 106,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 107,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 108,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 109,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 110,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 111,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 112,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 113,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 114,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 115,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sold - Scenario 116,0.0,0.0,0.0,335008.8,0.0,0.0,0.0,1.09478712e8,0.0,0.0,439090.9091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
